,Image,Accuracy,F1,Jaccard,Recall,Precision
22,0003_output-slice330,0.998125,0.9540229885057471,0.9120879120879121,0.97265625,0.9360902255639098
23,0003_output-slice332,0.998125,0.9575221238938052,0.9185059422750425,0.9783001808318263,0.9376083188908145
24,0003_output-slice333,0.9980078125,0.9558441558441557,0.9154228855721394,0.9735449735449735,0.9387755102040817
25,0003_output-slice335,0.998515625,0.9686468646864687,0.9392,0.9767054908485857,0.9607201309328969
26,0003_output-slice338,0.9983203125,0.9673500379650722,0.9367647058823529,0.9769938650306749,0.9578947368421052
27,0003_output-slice343,0.998671875,0.9776021080368906,0.9561855670103093,0.9827814569536424,0.9724770642201835
28,0003_output-slice344,0.99875,0.9794871794871796,0.9597989949748744,0.9922077922077922,0.9670886075949368
29,0003_output-slice349,0.998828125,0.9831460674157304,0.9668508287292817,0.9909399773499433,0.9754738015607581
30,0003_output-slice352,0.9983984375,0.9784550709406201,0.9578189300411523,0.974869109947644,0.9820675105485233
31,0003_output-slice363,0.99765625,0.9745114698385725,0.9502899751449876,0.9795046968403074,0.9695688926458157
32,0003_output-slice364,0.9975,0.9733777038269551,0.9481361426256077,0.9831932773109243,0.9637561779242174
33,0003_output-slice366,0.9972265625,0.9719699960521121,0.945468509984639,0.9738924050632911,0.9700551615445232
34,0003_output-slice374,0.9934375,0.9466666666666668,0.8987341772151899,0.9377358490566038,0.9557692307692308
35,0003_output-slice377,0.9914453125,0.935226264418811,0.8783333333333333,0.9283617146212566,0.9421930870083433
36,0003_output-slice386,0.9868359375,0.9205376090544684,0.8527741371778069,0.9503407984420643,0.8925468678555099
37,0003_output-slice391,0.979921875,0.8938893476465732,0.8081373646883165,0.9704168534289557,0.8285495598928435
38,0003_output-slice393,0.9716015625,0.8592994000387072,0.7533084492704445,0.9758241758241758,0.7676348547717843
39,0003_output-slice398,0.9629296875,0.8344093526435177,0.7158682634730539,0.9727420667209113,0.7305224564619615
40,0003_output-slice399,0.9597265625,0.8243910747743143,0.7012460156476383,0.9691629955947136,0.7172495554238293
41,0003_output-slice409,0.9628125,0.8715942810898301,0.7724121443939757,0.9784978800726832,0.7857490272373541
42,0003_output-slice410,0.96765625,0.8896882494004796,0.8012958963282938,0.9697937844902701,0.8218065468865371
43,0003_output-slice414,0.9759765625,0.9199531433033972,0.8517715112075199,0.9874266554903605,0.8611111111111112
44,0003_output-slice419,0.987578125,0.959104938271605,0.9214232765011119,0.985986250661026,0.9336504757135704
45,0003_output-slice421,0.9890234375,0.9642720915448189,0.9310090842131107,0.9937106918238994,0.9365275376636206
46,0003_output-slice423,0.9878515625,0.9611686852291174,0.9252403846153846,0.9803871625063678,0.9426891991182954
47,0003_output-slice427,0.988984375,0.9659502535619416,0.9341429238673518,0.983284169124877,0.9492168960607499
48,0003_output-slice438,0.9962890625,0.9880337574001763,0.9763505103310929,0.9959370238699847,0.9802549362659335
49,0003_output-slice440,0.9956640625,0.9857271441429857,0.9718559837728195,0.9924909373381667,0.9790549169859515
50,0003_output-slice441,0.9951171875,0.9836921069797782,0.9679075738125802,0.9908015768725361,0.9766839378238342
51,0003_output-slice450,0.992421875,0.970281862745098,0.9422790836060696,0.9937245058048322,0.94791978449566
